Sector,Track,Job Role,Job Role Description,Performance Expectation
Accountancy,Assurance,Audit Associate / Audit Assistant Associate,"The Audit Associate/Audit Assistant Associate undertakes specific stages of audit work under supervision. He/She begins to appreciate the underlying principles behind the tasks assigned to him as part of the audit plan. He is also able to make adjustments to the application of skills to improve the work tasks or solve non-complex issues. The Audit Associate/Audit Assistant Associate operates in a structured work environment. He is able to build relationships, work in a team and identify ethical issues with reference to the code of professional conduct and ethics. He is able to select and apply from a range of known solutions to familiar problems and takes responsibility for his own learning and performance. He is a trustworthy and meticulous individual.","In accordance with: Singapore Standards on Auditing, Ethics Pronouncements in Singapore, Singapore Companies Act, and Singapore Financial Reporting Standards"
Accountancy,Assurance,Audit Manager,"The Audit Senior Manager/Audit Manager manages a portfolio of engagements to deliver high quality audit services. He/she also provides leadership on audit engagements which includes client acceptance process, engagement planning, execution and finalisation of an audit engagement. He is fully accountable for the audit engagement and ensures that the engagement progress against budget and timeline is closely monitored. He also serves to develop and maintain long-term client relationships and value-add to the audit firm by identifying new business development opportunities. The Audit Senior Manager/Audit Manager reviews and provides key technical expertise to ensure the quality of audit work performed is in compliance with professional standards and requirements. He contributes towards continuous improvement in audit methodology and process. He will also assume a greater role in professional development activities such as training, staff recruitment and resource planning.","In accordance with: Singapore Standards on Auditing, Ethics Pronouncements in Singapore, Singapore Companies Act, and Singapore Financial Reporting Standards"
Accountancy,Assurance,Audit Partner / Audit Director,"The Audit Partner/Audit Director is a transformational leader who steers the organisation to achieve its business goals and objectives by formulating technical and strategic directions to drive change. He/She provides strategic vision and leadership to the organisation in order to develop and strengthen organisational capabilities and culture. The Audit Partner/Audit Director is expected to promote new ideas and business solutions that result in extended services to existing clients. He constantly seeks to expand client base and support business development activities. He also establishes consistent and rigorous quality and risk management processes and procedures. The Audit Partner/Audit Director uses a multitude of controls and procedures consisting professional, regulatory, business, economic, social and environmental conditions to manage risk exposure.","In accordance with: Singapore Standards on Auditing, Ethics Pronouncements in Singapore, Singapore Companies Act, and Singapore Financial Reporting Standards"
Accountancy,Assurance,Audit Senior,"The Audit Senior is expected to team lead various sizes of audit engagements which include planning, performing, reviewing of audit work performed by less experienced personnel and concluding the engagement. He/She works closely with team members to execute the audit plan and ensures the timely completion of the audit engagement. He also works closely with clients and manages their expectations to further nurture on-going client relationships. He is able to identify unethical behaviour and react based on the applicable ethical principles. The Audit Senior operates in work contexts that are less standardised and unanticipated changes can be frequent due to changes in the external environment. He is a trustworthy and meticulous individual.","In accordance with: Singapore Standards on Auditing, Ethics Pronouncements in Singapore, Singapore Companies Act, and Singapore Financial Reporting Standards"
Accountancy,Business Valuation,Business Valuation Associate / Business Valuation Executive,The Business Valuation Associate/Business Valuation Executive has significant responsibility for execution of deliverables. He/She needs to work hands-on on the valuation analysis. He is expected to adhere to standards of ethics and maintain quality assurance in processes. The Business Valuation Associate/Business Valuation Executive participates in business development and stakeholder interaction. He has minimal experience and is expected to embark on a steep learning curve to acquire various skills and expertise in business valuation including valuation of intangible assets. He possesses strong time management and communication skills.,In accordance with the International Valuation Standards Council's Code of Ethical Principles for Professional Valuers
Accountancy,Business Valuation,Business Valuation Manager,"The Business Valuation Manager is second in charge of various functions including managing the valuation, generating and supporting the business, quality control, technical leadership as well as sourcing appropriate staff for the team. The Business Valuation Manager is a technical expert in all areas of valuation including valuation of intangible assets. He/She should possess considerable amount of experience in valuation, client, stakeholder and business management, project management and team development.",In accordance with the International Valuation Standards Council's Code of Ethical Principles for Professional Valuers
Accountancy,Business Valuation,Business Valuation Partner / Business Valuation Director,"The Business Valuation Partner/Business Valuation Director is a team leader in charge of various functions including generating business and growing the business, quality control, technical leadership as well as sourcing appropriate staff for the team. He/She is given the signing authority for any client deliverables in a consultancy role, or responsibility for corporate development in-house. He is not only responsible for the quality of technical output, but also for risk management for the business. The Business Valuation Partner/Business Valuation Director is also looked upon as an expert in valuation and should possess considerable amount of valuation experience including valuation of intangible assets. He is responsible for marketing and business development, client and stakeholder relationship management, and making decisions on engagements and client acceptance.",In accordance with the International Valuation Standards Council's Code of Ethical Principles for Professional Valuers
Accountancy,Business Valuation,Business Valuation Senior / Business Valuation Senior Executive,"The Business Valuation Senior/Business Valuation Senior Executive is in charge of day to day operations, from a valuation perspective. He/She manages the valuation exercise for the client engagements that he is responsible for, or the business that he belongs to. He is expected to adhere to standards of ethics and maintain quality assurance in processes. The Business Valuation Senior/Business Valuation Senior Executive participates in business development and is expected to interact with stakeholders to manage project deliverables and timeline. He has a significant level of technical expertise including valuation of intangible assets and is very hands on with the valuation exercise. He possesses strong time management and communication skills.",In accordance with the International Valuation Standards Council's Code of Ethical Principles for Professional Valuers
Accountancy,Enterprise Risk Management,Chief Risk Officer / Risk Partner / Head of Risk / Enterprise Risk Management Director,"The Chief Risk Officer/Risk Partner/Head of Risk/Enterprise Risk Management Director manages the overall risk exposure across the organisation in collaboration with relevant business units and senior stakeholders. He/She develops and defines enterprise-level policies and frameworks which establishes acceptable risk appetite and strategies to maintain the organisation's collective risk exposure. He reviews the monitoring and management of enterprise risk exposure, including identifying and measuring risks from an organisational level, and implementing appropriate risk controls across the organisation. He also leads planning for recovery and resolution activities after high-risk incidents in collaboration with business units. The Chief Risk Officer/Risk Partner/Head of Risk/Enterprise Risk Management Director is strategically oriented, well-versed with all aspects of the business including decision-making processes and able to connect the dots to achieve outcomes. He is conceptual, highly experienced in various risk disciplines and takes a big picture approach. He is an influential leader, leading and developing the team, and works well with a wide range of senior stakeholders. He has strong interpersonal skills and the ability to change undesirable behaviours with more desirable ones.",
Accountancy,Enterprise Risk Management,Enterprise Risk Management Associate / Enterprise Risk Management Executive,"The Enterprise Risk Management Associate/Enterprise Risk Management Executive is responsible for supporting the implementation of enterprise risk management (ERM) activities, as well as policy and process maintenance. He/She gathers information, monitors and flags issues within ERM systems. He assists in preparing documents and reports for management review. He monitors adherence to risk policy and guidelines, supporting overall communication and risk reporting mechanisms. He also supports identification of resolution activities after high-risk incidents. The Enterprise Risk Management Associate/Enterprise Risk Management Executive is inquisitive, adaptable, a quick learner and is able to execute work independently. He is highly motivated, takes initiative and able to deliver outcomes as required. He is also analytical, and process and task-oriented in carrying out required procedures. He possesses strong time management, interpersonal and communication skills. The Enterprise Risk Management Associate/Enterprise Risk Management Executive would typically have had prior exposure to other accounting and advisory functions, and is expected to embark on a steep learning curve to acquire ERM skills and expertise. He has basic knowledge of organisations' business model and culture.",
Accountancy,Enterprise Risk Management,Enterprise Risk Management Manager,"The Enterprise Risk Management Manager is responsible for managing enterprise-wide risks through collaboration across the organisations' risk discipline. He/She works with internal stakeholders to establish risk criteria within different business units, develop risk reporting mechanisms and propose controls that support risk mitigation plans according to enterprise-level frameworks. He also develops risk profiles to analyse the severity of risks. He also assists with the planning for recovery and resolution activities after high-risk incidents in collaboration with business units. The Enterprise Risk Management Manager is results-oriented, innovative and able to work independently. He has broad knowledge of the organisation, decision-making processes and business model. He has an analytical mindset and can communicate with senior management on sensitive risk-related issues. He is also adept at managing a diverse group of stakeholders across the organisation and guiding his team. He is familiar with the various risk disciplines within various industries and possesses knowledge of different types of risks.",
Accountancy,Enterprise Risk Management,Enterprise Risk Management Senior / Enterprise Risk Management Senior Executive,"The Enterprise Risk Management Senior/Enterprise Risk Management Senior Executive is responsible for implementing enterprise risk management (ERM) activities in collaboration with various business units, as well as identifying and escalating routine and emerging enterprise risks through the execution of ERM framework procedures. He/She communicates and highlights risk profiles for management review. He also recommends and executes activities to manage and respond to risks within the business. He facilitates risk management units in adhering to enterprise risk management policies and frameworks. He also supports planning for recovery and resolution activities after high-risk incidents in collaboration with business units. The Enterprise Risk Management Senior/Enterprise Risk Management Senior Executive is results-oriented and self-reliant in meeting goals and objectives. He has a good understanding of the organisations' business model, culture and value chain. He possesses the ability to think strategically, demonstrate good judgment and execute procedures with quality. He can collaborate with others to achieve a common goal and foster enthusiasm. He should possess excellent communication, facilitation and interpersonal skills.",
Accountancy,Financial Accounting,Accountant / Senior Accounts Executive,"The Accountant/Senior Accounts Executive is involved in most, if not all, aspects of accounting and oversees the day-to-day activities of the accounting team. He/she ensures that the organisation's finance function is well organised as well as produces timely and accurate financial statements and management accounts, thus achieving compliance with corporate policies and statutory requirements. He must also analyse data and understand the financial performance and position of the organisation in order to develop suitable accounting policies to meet reporting requirements and to produce any special reports required by the management team. The Accountant/Senior Accounts Executive often leads a team of finance and accounting specialists and works closely with the internal and external auditors, bankers, and regulators. He must keep current with changing statutory requirements and tax laws and determine the implications of such changes to financial reporting. He may also work with the leadership team to help define the organisations overall finance strategy.",
Accountancy,Financial Accounting,Accounts Executive / Accounts Assistant,"The Accounts Executive/Accounts Assistant supports the finance department in carrying out the responsibilities of the accounting department. He/She is involved in work that is specific to accounts receivable, accounts payable, tax filing, data compilation, billing, payroll or other accounting tasks. In some instances, he may work specifically with accruals, fixed assets accounting or the monthly and yearly finalisation of accounts for audit purposes. The Accounts Executive/Accounts Assistant may also assist with the preparation of trial balance, basic financial statements and simple consolidated financial statements. He may be called on to participate in ad-hoc finance-related projects and systems testing when necessary.",
Accountancy,Financial Accounting,Finance Manager,"The Finance Manager is the lead finance business partner for the organisation and has responsibilities covering all aspects of financial management, performance management, financial accounting, budgeting, corporate reporting etc. He/she has sound technical as well as management skills and be able to lead a team consisting of finance professionals with varied, in-depth or niche technical knowledge and abilities; consolidating their work and ensuring its quality and accuracy, especially for reporting purposes. The Finance Manager is expected to provide sound financial advice and counsel on working capital, financing or the financial position of the organisation by synthesising internal and external data and studying the economic environment. He often has a key role in implementing best practices in order to identify and manage all financial and business risks and to meet the organisation's desired business and fiscal goals. He is expected to have a firm grasp of economic and business trends and to implement work improvement projects that are geared towards quality, compliance and efficiency in finance.",
Accountancy,Financial Accounting,Financial Controller,"The Financial Controller is the chief accountant for a specific division of an organisation or a group of its entities. He/she serves as the organisations go-to person for all accounting-related matters. He is a tactician who ensures smooth day-to-day running of the accounting and finance operations. The role may be country-specific or covers several regional geographies. The Financial Controller may cover four key roles for the organisation. As a commentator, he is tasked with telling the business story by explaining financial numbers. He is also responsible for preparing financial reports and conducting analysis of variances in the figures to facilitate management decision-making in the running of the business. As a business partner, he focuses on creating value, acting as business advisors and integrators for the organisation. As a score keeper, the Financial Controller manages key functions of the organisation such as financial reporting, process improvements in the finance function, as well as ensuring smooth operation of the finance department. He holds the crucial role of helping the organisation meet its financial needs by acting as a bridge between the top management and the various departments in the organisation. As a custodian, he manages governance issues by working with business units to ensure compliance and effective controls. He acts as custodian of assets and value protection.",
Accountancy,Financial Accounting,Head of Treasury,"The Head of Treasury is responsible for establishing cash management strategies and overseeing the financial position of the organisation to ensure steady growth and sufficient capital. He/She pursues opportunities for financing and investment. He manages responses to unusual activities and directs compliance to regulations. He also seek opportunities for financing and investment and potential revenue opportunities after analysing the organisation's financial position. The Head of Treasury is results-oriented, and decisive in reviewing and endorsing reports on the organisation's position to stakeholders. He is expected to have a good sense of local and global regulatory requirements and existing and emerging financing opportunities in the market. He is skilled at fostering relationships with internal and external stakeholders to support financing needs and other treasury operations",
Accountancy,Financial Accounting,Treasury Manager,"The Treasury Manager is responsible for managing the organisation's daily positions, cash flows and financial returns on investments. He/She reviews and monitors the organisation's cash positions and investment portfolio. He also provides advice and updates to management and other stakeholders in the organisation as well as identifies opportunities for financing and investment. He develops plans to address gaps in organisation's cash flow positions and liquidity management. The Treasury Manager results-oriented, and meticulous in delivering reports on the organisation's position to stakeholders. He is expected to have a good sense of local and global regulatory requirements and opportunities in the market. He is skilled at managing and collaborating with internal and external stakeholders.",
Accountancy,Financial Accounting / Management Accounting,Chief Financial Officer,"The Chief Financial Officer (CFO) is an organisational leader and key member of the senior management team. He/She balances the responsibilities of stewardship of an organisations finances with business partnership. He acts as an integrator and navigator for the organisation by effectively leading the finance and accounting functions. Increasingly, the CFO is also taking on more organisational roles beyond traditional finance. He may have group, regional or country-specific responsibilities depending on the size and structure of his organisation. Typically, the CFO takes on a range of responsibilities, including but not limited to protecting the organisations critical assets and financial health. He ensures compliance with financial regulations, signs off on financial statements, and communicates value, financial information and risk issues to Boards and the investor community. He also heads the organisations finance function and ensures an efficient and effective structure to provide a range of services to support the business, including cash flow management, financial planning and analysis, treasury functions, finance operations and tax. The CFO also reports and provides advice to the Board, Chief Executive and senior management team on financial issues, company performance, organisational liabilities and other developments. He functions as a strategic business advisor and plays a significant role in shaping the future direction of the organisation. He is also responsible for obtaining board approval and is involved in public or shareholder announcements. He demonstrates leadership in the finance function to align finance and business strategies to grow the organisation. He also supports business growth through his part in capital market financing initiatives and mergers and acquisitions activities which involve negotiations, pricing, due diligence, valuation. The CFO is responsible for driving change in the finance function or organisation at large. He pushes for business improvement initiatives such as efficient cost reduction, procurement and pricing, as well as develop processes and promote innovations that create value for the company. Beyond finance, he also tend to oversee a range of organisational functions including human resources, Infocomm technology and operations, legal, compliance, corporate governance and corporate social responsibility.",
Accountancy,Financial Forensics,Financial Forensics Associate / Financial Forensics Executive,"The Financial Forensics Associate/Financial Forensics Executive supports his/her reporting officer and/or financial forensics team in delivering forensic investigation, prevention and detection activities. He supports foundational work such as data collection and analysis, report preparation and fraud risk identification. He works closely with the audit, legal, risk and compliance teams to gather and analyse data, providing assistance in data gathering activities such as retrieving electronically stored information. The Financial Forensics Associate/Financial Forensics Executive may work as an internal forensic specialist or as an external consultant providing consultant services to other organisations, where he may be based in clients' office. He would typically have had prior exposure to other accounting and advisory functions. He should be results-oriented and meticulous in his work to identify risks, gaps and potential red flags. He applies the principles of the Code of Professional Conduct and Ethics in all his tasks.",
